Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Robo en comercio,Robo a mano armada en un local barrial,Delito,-34.6037,-58.3816,2024-03-15
Accidente vial,Choque entre dos autos sin heridos,Accidente,-31.4201,-64.1888,2023-11-02
Incendio doméstico,Principio de incendio controlado por bomberos,Emergencia,-32.8895,-68.8458,2024-01-27
Manifestación pública,Protesta pacífica en plaza central,Social,-34.9214,-57.9544,2022-09-10
Corte de energía,Falla eléctrica en barrio residencial,Infraestructura,-38.0055,-57.5426,2023-07-19
Asalto en vía pública,Arrebato de mochila a transeúnte,Delito,-34.7971,-58.39,2024-05-06
Derrame de combustible,Pérdida de combustible en ruta nacional,Ambiental,-32.9442,-60.6505,2021-12-03
Evento cultural,Festival de música al aire libre,Cultura,-31.5375,-68.5364,2022-02-18
Accidente laboral,Caída desde altura en obra en construcción,Trabajo,-34.6118,-58.4173,2023-10-30
Alerta sanitaria,Brote leve de intoxicación alimentaria,Salud,-24.7821,-65.4232,2024-06-12
